Database,Keyword,Seed keyword,Page,Topic,Page type,Tags,Volume,Keyword Difficulty,CPC (USD),Competitive Density,Number of Results,Intent,SERP Features,Trend,Click potential,Content references,Competitors
nl,wat is iptv en hoe werkt het,iptv,,,,,40,25,0.00,0.33,2050000,Informational,"Site Links, Video, Related Searches, AI Overview","0.19,0.09,0.09,0.09,0.09,0.14,0.09,0.00,0.09,0.09,0.14,0.09",20,,
nl,de beste iptv,iptv,,,,,70,26,0.00,0.33,49,Informational,"Video, Related Searches, AI Overview","0.11,0.23,0.23,0.29,0.41,0.41,0.64,0.82,1.00,1.00,0.29,0.11",90,,
nl,welke iptv app voor samsung tv,iptv,,,,,110,16,0.00,0.00,37100000,Informational,"Site Links, Video, Related Searches, AI Overview","0.65,0.06,0.06,0.06,0.06,0.06,0.06,0.09,0.21,0.34,0.28,0.06",20,,
nl,wat is de beste iptv voor nederland,iptv,,,,,260,23,0.00,0.00,2730000,Informational,"Site Links, Video, Related Searches, AI Overview","0.28,0.28,0.35,0.28,0.44,0.35,0.54,0.66,1.00,0.66,0.03,0.11",20,,
nl,hoe werkt iptv,iptv,,,,,320,28,0.00,0.00,282000,Informational,"AI Overview, Video, Video Carousel, People Also Ask, Related Searches","0.44,0.44,0.28,0.35,0.54,0.54,0.54,0.54,0.66,1.00,0.44,0.44",90,,
nl,internet protocol tv providers,iptv,,,,,590,26,0.00,0.00,63000000,"Informational, Transactional","Site Links, Video, Adwords Bottom, Video Carousel, People Also Ask, Related Searches, Adwords Middle","0.45,0.45,0.36,0.30,0.45,0.45,0.55,0.45,0.55,1.00,0.45,0.55",20,,
nl,appli iptv android,iptv,,,,,480,21,0.00,0.00,36400000,Informational,"AI Overview, Video, Video Carousel, People Also Ask, Related Searches","1.00,1.00,0.81,0.36,0.29,0.36,0.54,0.54,0.44,0.54,0.44,0.44",90,,
nl,diamondiptv,iptv,,,,,390,16,0.84,0.01,91,Informational,"People Also Ask, Related Searches","0.36,0.20,0.16,0.20,0.24,0.24,0.36,0.36,1.00,0.00,0.00,0.36",60,,
nl,goediptv,iptv,,,,,320,19,1.78,0.06,56,Navigational,"Site Links, Video, Related Searches","0.66,0.54,0.28,0.23,0.35,0.28,0.44,0.35,1.00,0.81,0.44,0.35",20,,
nl,wat is iptv,iptv,,,,,480,32,0.00,0.00,1910000,Informational,"People Also Ask, Related Searches, AI Overview, Site Links, Video, Image","0.32,0.39,0.39,0.39,0.59,0.39,0.59,0.59,0.59,0.88,0.72,0.48",20,,
nl,what is iptv,iptv,,,,,210,61,0.00,0.00,42600000,Informational,"Short Videos, AI Overview, Site Links, Video, Image, Video Carousel, People Also Ask, Related Searches","0.53,0.65,0.53,0.65,1.00,0.43,0.43,0.43,0.53,0.53,0.43,0.43",20,,
nl,welke iptv is het beste,iptv,,,,,140,12,0.00,0.00,385000,"Informational, Commercial","Related Searches, AI Overview, Site Links, Video, People Also Ask","0.54,0.35,0.04,0.08,0.04,0.06,0.04,0.04,0.14,0.14,0.10,0.04",20,,
nl,wat kost iptv,iptv,,,,,50,11,0.00,0.33,122000,Informational,"Related Searches, AI Overview","0.11,0.11,0.11,0.11,1.00,0.11,0.11,0.82,0.82,1.00,0.82,0.11",90,,
nl,wat kost prime video bij ziggo,iptv,,,,,50,23,1.19,0.08,1020000,"Informational, Navigational","Related Searches, AI Overview, Site Links","0.28,0.35,0.14,0.14,0.14,0.78,0.14,1.00,0.14,0.14,0.14,0.14",20,,
